,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
0,2006-01-04 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,1.1176,773.333333,11.0,7.66666667,0.0772239
1,2006-03-06 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,1.016,653.333333,19.0,8.66666667,0.05965698
2,2006-05-04 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,0.8128,806.666667,18.0,8.0,0.00373996
3,2006-07-05 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,1.1684,820.0,22.3333333,19.6666667,0.04154836
4,2006-09-06 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,1.17856,873.333333,24.0,28.0,0.0374404
5,2006-11-08 00:00:00,Alto,Dana Stephens,29.7787,-82.143467,1.524,666.666667,15.0,6.0,0.02789103
6,2006-01-17 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.21336,3390.0,194.666667,197.666667,0.05890192
7,2006-03-19 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2446.66667,253.0,116.0,0.09454987
8,2006-05-18 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.24384,4313.33333,342.333333,280.0,0.1148911
9,2006-08-21 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2600.0,179.666667,98.6666667,0.1006728
10,2006-09-23 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2690.0,206.333333,107.666667,0.07979847
11,2006-11-30 00:00:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.24384,2836.66667,223.666667,111.333333,0.06939975
12,2006-01-22 00:00:00,Little Orange,Dana Stephens,29.5772222,-82.056944,0.87376,996.666667,143.666667,4.0,0.06089009
13,2006-03-18 00:00:00,Little Orange,Dana Stephens,29.5772222,-82.056944,0.9144,1020.0,127.333333,4.33333333,0.06861921
14,2006-05-21 00:00:00,Little Orange,Dana Stephens,29.5772222,-82.056944,0.6096,1030.0,132.333333,7.33333333,0.00244496
15,2006-07-30 00:00:00,Little Orange,Dana Stephens,29.5772222,-82.056944,0.94488,910.0,131.333333,9.0,0.05957109
16,2006-09-17 00:00:00,Little Orange,Dana Stephens,29.5772222,-82.056944,1.09728,906.666667,111.666667,10.3333333,0.03817592
17,2006-02-28 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.15824,920.0,20.3333333,2.0,0.10591314
18,2006-04-26 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.04648,753.333333,14.6666667,4.0,0.03186768
19,2006-05-23 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.04648,793.333333,16.3333333,11.0,0.02919949
20,2006-07-24 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.31064,686.666667,20.0,15.3333333,0.03316062
21,2006-09-20 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.61544,616.666667,13.3333333,10.3333333,0.05749267
22,2006-12-10 00:00:00,Little Santa Fe,Dana Stephens,29.7708056,-82.092722,1.6764,606.666667,14.6666667,6.0,0.07128131
23,2006-01-24 00:00:00,Lochloosa,Dana Stephens,29.5173889,-82.122917,0.6477,1317.5,87.25,17.0,0.09685339
24,2006-03-20 00:00:00,Lochloosa,Dana Stephens,29.5173889,-82.122917,0.54102,1270.0,117.75,22.25,0.29229229
25,2006-05-18 00:00:00,Lochloosa,Dana Stephens,29.5173889,-82.122917,0.63246,1422.5,148.5,26.25,1.63002744
26,2006-06-27 00:00:00,Lochloosa,Dana Stephens,29.5173889,-82.122917,0.89916,1307.5,149.75,62.5,0.41114296
