,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
813,06-01-05 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.8636,453.333333,7,2,0.09033185
592,06-01-26 0:00,Alligator,Dana Stephens,28.2305,-81.198833,0.9144,994,19.4,3.8,0.07578877
814,06-04-18 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.94488,413.333333,10.6666667,2.66666667,0.1145804
593,06-04-20 0:00,Alligator,Dana Stephens,28.2305,-81.198833,1.2192,984,20,3,0.03091969
815,06-05-27 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.94488,440,13,5,0.00428964
594,06-06-24 0:00,Alligator,Dana Stephens,28.2305,-81.198833,1.524,982,18,4,0.03524164
816,06-07-08 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,1.40208,583.333333,31.3333333,15.6666667,0.07926724
817,06-09-09 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.9144,620,15.6666667,12.6666667,0.05912094
647,06-10-23 0:00,Alligator,Dana Stephens,27.9812,-82.697933,1.11252,870,133.333333,30,0.04671975
818,06-10-29 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.67056,783.333333,10.6666667,2.66666667,0.03104973
819,06-12-03 0:00,Alligator,Dana Stephens,30.3351667,-86.17405,0.7112,563.333333,7.33333333,3,0.03764488
0,06-01-04 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.1176,773.333333,11,7.66666667,0.0772239
1,06-03-06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.016,653.333333,19,8.66666667,0.05965698
2,06-05-04 0:00,Alto,Dana Stephens,29.7787,-82.143467,0.8128,806.666667,18,8,0.00373996
3,06-07-05 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.1684,820,22.3333333,19.6666667,0.04154836
4,06-09-06 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.17856,873.333333,24,28,0.0374404
5,06-11-08 0:00,Alto,Dana Stephens,29.7787,-82.143467,1.524,666.666667,15,6,0.02789103
686,06-02-17 0:00,Annie,Dana Stephens,29.6021667,-82.015667,4.572,413.333333,7.33333333,1.33333333,0.18541898
687,06-03-19 0:00,Annie,Dana Stephens,29.6021667,-82.015667,3.7084,410,7.33333333,3,0.25303502
688,06-05-20 0:00,Annie,Dana Stephens,29.6021667,-82.015667,3.302,376.666667,5,2,0.52933781
689,06-07-18 0:00,Annie,Dana Stephens,29.6021667,-82.015667,3.5052,370,4,2,0.0329668
690,06-09-16 0:00,Annie,Dana Stephens,29.6021667,-82.015667,2.5908,453.333333,7.33333333,5,0.08089972
691,06-11-19 0:00,Annie,Dana Stephens,29.6021667,-82.015667,2.1336,430,8.66666667,7,0.05287527
781,06-01-01 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.3048,1013.33333,94.3333333,10.3333333,0.07359886
782,06-04-01 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.3048,1186.66667,117.666667,4,0.08879564
783,06-05-02 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.3048,1226.66667,134.333333,4,0.02038323
784,06-07-01 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.3048,1263.33333,135.666667,10,0.01778166
785,06-09-04 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.6096,816.666667,83,7.66666667,0.04698667
786,06-11-11 0:00,Ashby,Dana Stephens,28.9270278,-81.105194,0.79248,713.333333,62,5.66666667,0.04840995
692,06-01-30 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,0.9144,343.333333,18,6.66666667,0.05926701
693,06-03-27 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,0.762,423.333333,22.3333333,10,0.04728525
694,06-05-30 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,1.09728,320,15,7,0.02122745
695,06-07-23 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,1.17856,293.333333,17.3333333,5.33333333,0.07965003
696,06-09-16 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,0.9144,366.666667,19.3333333,7,0.0779084
697,06-11-29 0:00,Ashley,Dana Stephens,29.7052778,-82.024472,0.72136,413.333333,15.3333333,4.66666667,0.05324157
698,06-01-12 0:00,Barco,Dana Stephens,29.6758889,-82.008278,,146.666667,2.66666667,1.33333333,0.06640193
699,06-05-16 0:00,Barco,Dana Stephens,29.6758889,-82.008278,,83.3333333,3.66666667,1,0.02297615
700,06-07-24 0:00,Barco,Dana Stephens,29.6758889,-82.008278,4.9276,116.666667,4,2,0.03246867
701,06-09-22 0:00,Barco,Dana Stephens,29.6758889,-82.008278,3.92176,250,6.66666667,2,0.02906009
702,06-11-22 0:00,Barco,Dana Stephens,29.6758889,-82.008278,,136.666667,3.33333333,2,0.0750427
733,06-01-04 0:00,Bear,Dana Stephens,30.8639167,-86.831583,1.4224,346.666667,20.6666667,12.3333333,0.07681628
734,06-04-04 0:00,Bear,Dana Stephens,30.8639167,-86.831583,2.60096,280,24.3333333,6.33333333,0.08226781
735,06-06-07 0:00,Bear,Dana Stephens,30.8639167,-86.831583,1.50368,330,25.3333333,14.6666667,0.01649727
736,06-07-06 0:00,Bear,Dana Stephens,30.8639167,-86.831583,1.43256,676.666667,31.6666667,18.6666667,0.15266883
737,06-10-02 0:00,Bear,Dana Stephens,30.8639167,-86.831583,1.27,553.333333,41.3333333,21.6666667,0.06135489
738,06-11-03 0:00,Bear,Dana Stephens,30.8639167,-86.831583,1.8288,470,44.3333333,23,0.07653667
267,06-01-23 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.39624,2910,97.3333333,131.333333,0.3098758
268,06-03-21 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.3048,3320,104,152.333333,0.39207001
269,06-05-24 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.43688,2800,71.6666667,74,1.94911721
270,06-07-19 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.3048,3100,61.3333333,130.333333,1.15945806
271,06-10-23 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.3048,4610,98,222,1.91822232
272,06-11-27 0:00,Beauclaire,Dana Stephens,28.7728778,-81.660472,0.26416,3963.33333,94.6666667,171.333333,1.46747831
656,06-01-28 0:00,Belle East,Dana Stephens,27.88295,-81.58315,2.4892,1020,40,13,0.12798762
657,06-04-01 0:00,Belle East,Dana Stephens,27.88295,-81.58315,1.3208,843.333333,54.3333333,26,0.11836838
658,06-05-01 0:00,Belle East,Dana Stephens,27.88295,-81.58315,1.40208,923.333333,46,25.6666667,0.01576906
659,06-07-29 0:00,Belle East,Dana Stephens,27.88295,-81.58315,2.82448,713.333333,20.3333333,9.33333333,0.0775154
660,06-12-23 0:00,Belle East,Dana Stephens,27.88295,-81.58315,3.0988,1020,40,24.6666667,0.03195728
661,06-01-28 0:00,Belle West,Dana Stephens,27.8809,-81.587017,2.51968,1060,38.6666667,17.3333333,0.08607183
662,06-04-01 0:00,Belle West,Dana Stephens,27.8809,-81.587017,1.55448,826.666667,50,25.6666667,0.07876145
663,06-05-01 0:00,Belle West,Dana Stephens,27.8809,-81.587017,1.40208,920,46.6666667,24,0.06070201
664,06-07-29 0:00,Belle West,Dana Stephens,27.8809,-81.587017,2.7432,676.666667,19.3333333,9,0.04452331
665,06-09-30 0:00,Belle West,Dana Stephens,27.8809,-81.587017,2.9972,680,23.3333333,10.6666667,0.05041913
666,06-12-23 0:00,Belle West,Dana Stephens,27.8809,-81.587017,2.62128,1066.66667,45.3333333,39.3333333,0.02661941
787,06-01-23 0:00,Beresford,Dana Stephens,28.9914722,-81.346222,0.6096,1023.33333,49.6666667,33,0.11864045
788,06-03-29 0:00,Beresford,Dana Stephens,28.9914722,-81.346222,0.6096,776.666667,44.6666667,21.3333333,0.15149966
789,06-05-08 0:00,Beresford,Dana Stephens,28.9914722,-81.346222,0.6096,1136.66667,69,36,0.57202595
790,06-08-17 0:00,Beresford,Dana Stephens,28.9914722,-81.346222,0.6096,1396.66667,59,46.3333333,0.79971409
791,06-09-19 0:00,Beresford,Dana Stephens,28.9914722,-81.346222,0.762,1280,54,39.6666667,0.60791403
792,06-01-29 0:00,Bethel,Dana Stephens,28.8489167,-81.212111,0.6096,1066.66667,69.3333333,41.3333333,0.09818987
793,06-04-15 0:00,Bethel,Dana Stephens,28.8489167,-81.212111,0.762,1306.66667,65,30,0.08682188
794,06-07-04 0:00,Bethel,Dana Stephens,28.8489167,-81.212111,0.33528,1780,62,63.3333333,0.08471048
795,06-10-21 0:00,Bethel,Dana Stephens,28.8489167,-81.212111,0.4572,1643.33333,52.6666667,54,0.24982523
618,06-01-27 0:00,Bird,Dana Stephens,28.1802278,-82.453461,2.7432,1003.33333,20.6666667,4.33333333,0.07273417
619,06-03-17 0:00,Bird,Dana Stephens,28.1802278,-82.453461,2.4384,796.666667,24.3333333,8.33333333,0.0545027
620,06-06-01 0:00,Bird,Dana Stephens,28.1802278,-82.453461,1.524,906.666667,28.3333333,15.6666667,0.01302097
621,06-10-04 0:00,Bird,Dana Stephens,28.1802278,-82.453461,,926.666667,23,7.5,0.04985495
622,06-11-26 0:00,Bird,Dana Stephens,28.1802278,-82.453461,,900,19.3333333,5.33333333,0.06661432
6,06-01-17 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.21336,3390,194.666667,197.666667,0.05890192
7,06-03-19 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2446.66667,253,116,0.09454987
8,06-05-18 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.24384,4313.33333,342.333333,280,0.1148911
9,06-08-21 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2600,179.666667,98.6666667,0.1006728
10,06-09-23 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.3048,2690,206.333333,107.666667,0.07979847
11,06-11-30 0:00,Bivans Arm,Dana Stephens,29.6241167,-82.343867,0.24384,2836.66667,223.666667,111.333333,0.06939975
247,06-01-02 0:00,Blue Cypress,Dana Stephens,27.7241,-80.760883,0.53848,1166.66667,98.3333333,4,0.03040523
248,06-06-06 0:00,Blue Cypress,Dana Stephens,27.7241,-80.760883,0.58928,1106.66667,74.6666667,12.6666667,0.0936718
249,06-07-09 0:00,Blue Cypress,Dana Stephens,27.7241,-80.760883,0.75184,1013.33333,87.6666667,9.66666667,0.07073102
250,06-10-04 0:00,Blue Cypress,Dana Stephens,27.7241,-80.760883,0.75184,1163.33333,131,6.33333333,0.05598944
251,06-11-01 0:00,Blue Cypress,Dana Stephens,27.7241,-80.760883,0.6604,1183.33333,129,12.3333333,0.03148233
205,06-02-28 0:00,Brant,Dana Stephens,28.1258167,-82.46995,1.2192,946.666667,34,6,0.1271869
206,06-04-30 0:00,Brant,Dana Stephens,28.1258167,-82.46995,1.2192,1133.33333,44.6666667,28,0.1479979
207,06-05-25 0:00,Brant,Dana Stephens,28.1258167,-82.46995,0.9144,1296.66667,50,56.3333333,0.08538383
208,06-07-28 0:00,Brant,Dana Stephens,28.1258167,-82.46995,0.9144,1290,37.6666667,34,0.57112242
209,06-09-27 0:00,Brant,Dana Stephens,28.1258167,-82.46995,1.0668,1060,38.6666667,28.6666667,1.53020694
210,06-11-21 0:00,Brant,Dana Stephens,28.1258167,-82.46995,1.0668,923.333333,30.3333333,23.3333333,4.71134755
595,06-02-22 0:00,Brick,Dana Stephens,28.1673333,-81.191183,0.64008,940,26.6666667,5,0.04713062
101,06-01-12 0:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.8956,220,10.5,2,0.06178295
102,06-05-05 0:00,Brooklyn,Dana Stephens,29.8025,-82.031111,4.14528,236.666667,9.33333333,1.33333333,0.01862666
103,06-07-07 0:00,Brooklyn,Dana Stephens,29.8025,-82.031111,3.93192,340,8.5,4,0.04913719
104,06-09-08 0:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.4384,250,10.5,3.5,0.04503105
105,06-11-10 0:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.7432,320,18,5,0.05564176
703,06-01-31 0:00,Broward,Dana Stephens,29.5083333,-81.591722,4.4704,356.666667,5.33333333,1.33333333,0.11076589
704,06-04-30 0:00,Broward,Dana Stephens,29.5083333,-81.591722,3.9624,270,7.33333333,2.66666667,0.28024404
705,06-05-30 0:00,Broward,Dana Stephens,29.5083333,-81.591722,4.4196,270,6.66666667,2,0.08339442
706,06-07-14 0:00,Broward,Dana Stephens,29.5083333,-81.591722,3.2004,220,3,2.66666667,0.04419569
707,06-09-28 0:00,Broward,Dana Stephens,29.5083333,-81.591722,3.9624,330,8,4.66666667,0.07931953
708,06-11-29 0:00,Broward,Dana Stephens,29.5083333,-81.591722,3.81,273.333333,4.33333333,1.66666667,0.11221911
273,06-01-13 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,9.7536,505,75.5,2.5,0.09019122
274,06-03-12 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,7.9248,490,73.5,3.5,0.08156439
275,06-05-14 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,9.7536,415,80,6,0.02028213
276,06-07-15 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,2.7432,270,68,25.5,0.05506938
277,06-10-15 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,9.144,515,81,7.5,0.05377271
278,06-11-18 0:00,Bugg Springs,Dana Stephens,28.7525472,-81.901336,7.3152,545,75.5,7,0.03629771
170,06-06-25 0:00,Byrd,Dana Stephens,27.6214333,-81.516683,6.2484,2426.66667,5,1.33333333,0.02966347
171,06-07-30 0:00,Byrd,Dana Stephens,27.6214333,-81.516683,5.6896,1876.66667,4.33333333,2,0.03260302
820,06-01-05 0:00,Campbell,Dana Stephens,30.36585,-86.28885,2.032,406.666667,5.33333333,1,0.07275612
821,06-04-18 0:00,Campbell,Dana Stephens,30.36585,-86.28885,1.9304,463.333333,7,1.66666667,0.05394624
822,06-05-09 0:00,Campbell,Dana Stephens,30.36585,-86.28885,2.4384,320,8.66666667,1.33333333,0.04596333
823,06-07-06 0:00,Campbell,Dana Stephens,30.36585,-86.28885,2.8448,693.333333,7.66666667,3,0.02555226
824,06-09-08 0:00,Campbell,Dana Stephens,30.36585,-86.28885,2.6416,470,6,4,0.04526191
825,06-11-09 0:00,Campbell,Dana Stephens,30.36585,-86.28885,,326.666667,4.33333333,1,0.04382662
543,06-01-09 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.43688,2600,58.3333333,107,0.767898
544,06-04-05 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.33528,3000,55.3333333,130,0.17421211
545,06-05-09 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.36576,3406.66667,56.3333333,143.333333,0.25490097
546,06-07-12 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.33528,3290,45.3333333,130,0.98642155
547,06-10-12 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.26416,3906.66667,63,202,1.17551977
548,06-12-02 0:00,Carlton,Dana Stephens,28.7595667,-81.6599,0.28448,4056.66667,86.3333333,219.333333,1.53475382
495,06-01-10 0:00,Charles,Dana Stephens,29.2294833,-81.9072,0.3048,1750,106,3,0.11029798
496,06-03-13 0:00,Charles,Dana Stephens,29.2294833,-81.9072,0.3048,1606.66667,66.6666667,3,0.04853448
497,06-06-04 0:00,Charles,Dana Stephens,29.2294833,-81.9072,0.3048,1553.33333,73,3.33333333,0.01516325
498,06-07-05 0:00,Charles,Dana Stephens,29.2294833,-81.9072,0.6096,1516.66667,66.6666667,5.33333333,0.04162898
613,06-01-29 0:00,Charleston West,Dana Stephens,26.5682,-80.17125,2.0828,560,23,8,0.17217468
614,06-03-18 0:00,Charleston West,Dana Stephens,26.5682,-80.17125,2.794,503.333333,13.3333333,4.66666667,0.06764732
615,06-05-27 0:00,Charleston West,Dana Stephens,26.5682,-80.17125,3.81,466.666667,13,3.33333333,0.01432867
616,06-10-07 0:00,Charleston West,Dana Stephens,26.5682,-80.17125,2.4384,296.666667,19.6666667,10.3333333,0.07201577
617,06-11-12 0:00,Charleston West,Dana Stephens,26.5682,-80.17125,2.3368,633.333333,23.3333333,11,0.05437359
279,06-03-27 0:00,Clear,Dana Stephens,28.875,-81.654167,3.07848,620,18.6666667,8,0.03717443
280,06-05-21 0:00,Clear,Dana Stephens,28.875,-81.654167,3.7338,533.333333,12.6666667,2,0.00312706
281,06-07-25 0:00,Clear,Dana Stephens,28.875,-81.654167,4.1148,460,13.6666667,2.66666667,0.08441016
282,06-09-30 0:00,Clear,Dana Stephens,28.875,-81.654167,3.93192,546.666667,13,3.33333333,0.06997679
283,06-11-20 0:00,Clear,Dana Stephens,28.875,-81.654167,2.97688,520,15.3333333,4,0.08957033
65,06-06-01 0:00,Cliff,Dana Stephens,26.1059444,-80.131167,1.9304,610,22.6666667,6,0.02734769
66,06-07-01 0:00,Cliff,Dana Stephens,26.1059444,-80.131167,0.9144,796.666667,42,37,0.03112571
67,06-09-01 0:00,Cliff,Dana Stephens,26.1059444,-80.131167,1.778,873.333333,37.3333333,11.6666667,0.04912657
68,06-11-06 0:00,Cliff,Dana Stephens,26.1059444,-80.131167,2.2352,760,29.6666667,2.66666667,0.04971993
513,06-03-11 0:00,Colonial,Dana Stephens,25.6165556,-80.370833,3.6576,246.666667,7.66666667,2,0.1639617
514,06-05-14 0:00,Colonial,Dana Stephens,25.6165556,-80.370833,3.3528,276.666667,5.66666667,2,0.0376225
745,06-01-31 0:00,Concord,Dana Stephens,28.6755361,-81.335814,0.9144,810,50.3333333,31,0.05464981
623,06-01-16 0:00,Crews,Dana Stephens,28.3829833,-82.516383,,1100,13.3333333,3.33333333,0.10844406
624,06-03-08 0:00,Crews,Dana Stephens,28.3829833,-82.516383,,1350,21.6666667,6.33333333,0.25464233
625,06-05-14 0:00,Crews,Dana Stephens,28.3829833,-82.516383,,2313.33333,44.3333333,41.6666667,0.55235688
596,06-05-14 0:00,Cypress,Dana Stephens,28.0757333,-81.32305,0.508,1756.66667,102,73.6666667,2.57360124
597,06-07-13 0:00,Cypress,Dana Stephens,28.0757333,-81.32305,0.4572,1963.33333,124,84.3333333,1.86113013
770,06-01-23 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,0.762,1273.33333,115.333333,24.3333333,0.12
771,06-04-25 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,0.762,1233.33333,50.6666667,21.6666667,0.041936
772,06-05-15 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,0.9144,1076.66667,38.3333333,8,0.0040247
773,06-07-17 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,1.0668,1050,33.3333333,11.6666667,0.05972756
774,06-10-09 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,0.7112,1270,59.3333333,30.3333333,0.06469211
775,06-11-25 0:00,De Witt,Dana Stephens,27.5549583,-80.408542,0.9144,1156.66667,43,30.6666667,0.06109431
211,06-04-16 0:00,Dead Lady,Dana Stephens,28.1553,-82.57085,2.24536,923.333333,53.6666667,7,0.13879905
212,06-05-20 0:00,Dead Lady,Dana Stephens,28.1553,-82.57085,2.04216,896.666667,46.6666667,10,0.00859417
213,06-07-15 0:00,Dead Lady,Dana Stephens,28.1553,-82.57085,1.9304,1083.33333,71.3333333,34,0.07246602
214,06-09-13 0:00,Dead Lady,Dana Stephens,28.1553,-82.57085,1.0668,1173.33333,71.3333333,44,0.07599282
215,06-11-13 0:00,Dead Lady,Dana Stephens,28.1553,-82.57085,1.1684,1206.66667,77.6666667,44.6666667,0.08038785
826,06-02-24 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.48336,353.333333,6.66666667,3,0.06212772
827,06-03-17 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.3208,396.666667,8.33333333,3.66666667,0.02471745
828,06-06-30 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.524,420,9,3.33333333,0.00970721
829,06-07-28 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.524,433.333333,12.6666667,4.33333333,0.0436422
830,06-09-30 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.3208,446.666667,12,3.66666667,0.03959155
831,06-12-07 0:00,Deer,Dana Stephens,30.3051333,-86.079483,1.51384,310,5.33333333,3,0.03259392
499,06-03-01 0:00,DeLancy,Dana Stephens,29.4271389,-81.766944,2.92608,556.666667,12.6666667,4,0.05008182
69,06-07-12 0:00,Delevoe,Dana Stephens,26.1255556,-80.174639,1.6764,553.333333,17.6666667,6.33333333,0.03231884
667,06-03-14 0:00,Dexter,Dana Stephens,27.99065,-81.68225,5.1816,400,10,1,0.18706939
668,06-05-21 0:00,Dexter,Dana Stephens,27.99065,-81.68225,4.2672,413.333333,10,1,0.03313123
669,06-07-29 0:00,Dexter,Dana Stephens,27.99065,-81.68225,,393.333333,8.33333333,1.66666667,0.11744238
670,06-09-24 0:00,Dexter,Dana Stephens,27.99065,-81.68225,,460,11.3333333,1.66666667,0.07233162
671,06-11-19 0:00,Dexter,Dana Stephens,27.99065,-81.68225,4.35864,440,11,1.66666667,0.05811116
467,06-01-19 0:00,Diane,Dana Stephens,30.5935,-84.236667,1.58496,510,30,6.33333333,0.07293879
468,06-04-27 0:00,Diane,Dana Stephens,30.5935,-84.236667,1.2192,370,16,5,0.05911196
469,06-05-25 0:00,Diane,Dana Stephens,30.5935,-84.236667,2.2352,416.666667,19,,0.0149152
