,DATETIME,Body of Water Name,DataContact,Lat ,LONG,Altitude (m),Maximum Depth (m),Mean Depth (m),Secchi Depth (m),Sampling Depth (m),Thermocline Depth (m),Surface Temperature (degrees celsius),Epilimnetic Temperature (degrees celsius),Total Nitrogen (ug/L),Total Phosphorus (ug/L),NO3 NO2 (mg/L),NH4 (mg/L),PO4 (ug/L),Total Chlorophyll a (ug/L),Total Chlorophyll b (ug/L),Zeaxanthin (ug/L),Diadinoxanthin (ug/L),Fucoxanthin (ug/L),Diatoxanthin (ug/L),Alloxanthin (ug/L),Peridinin (ug/L),Total Chlorophyll c2 (ug/L),Echinenone (ug/L),Lutein (ug/L),Violaxanthin (ug/L),Microcystin YR (ug/L),Microcystin dmRR (ug/L),Microcystin RR (ug/L),Microcystin dmLR (ug/L),Microcystin LR (ug/L),Microcystin LY (ug/L),Microcystin LW (ug/L),Microcystin LF (ug/L),Nodularin (ug/L),Cytotoxin Cylindrospermopsin (ug/L),Neurotoxin Anatoxin-a (ug/L)
0,2015-08-03 00:00:00,Mondsee,Evanthia Mantzouki,47.80302778,13.42019444,481.0,68.0,36.0,2.4,10.0,9.26,20.44,17.93,150.0,,0.257,0.03,,1.976,0.0,0.0,0.0,0.267,0.0,0.0,0.189,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-08-12 00:00:00,Brenet,Evanthia Mantzouki,46.67375,6.322252778,1002.0,18.0,,1.05,10.5,11.79,23.02,21.06,20.0,600.0,0.118,,,0.618,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-08-25 00:00:00,Bret,Evanthia Mantzouki,46.51416111,6.773583333,674.0,13.0,,1.6,9.0,7.91,20.58,19.25,90.0,200.0,0.007,,6.421,5.91,2.289,1.032,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0027,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-08-14 00:00:00,Divonne,Evanthia Mantzouki,46.35461667,6.152488889,466.0,4.0,,3.5,3.0,,25.99,25.85,120.0,200.0,,,4.543,5.328,0.677,0.0,0.0,0.941,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0187,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-08-10 00:00:00,Geneva_GE3,Evanthia Mantzouki,46.29200278,6.213036111,372.0,310.0,154.4,4.6,21.0,20.29,22.54,13.95,20.0,500.0,0.44,,4.386,2.121,0.704,0.257,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-08-20 00:00:00,Greifen,Evanthia Mantzouki,47.33993333,8.678416667,435.0,32.0,18.0,1.15,13.0,8.83,21.1,16.23,20.0,1400.0,0.84,,,2.9,0.833,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-08-17 00:00:00,Hallwil,Evanthia Mantzouki,47.28744722,8.2115,449.0,48.0,28.0,1.75,12.0,8.57,23.86,19.36,20.0,1100.0,0.73,,,6.711,0.3,0.827,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.071,0.3016,0.0,0.2896,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-08-12 00:00:00,Joux,Evanthia Mantzouki,46.63895278,6.286463889,1004.0,32.0,,4.0,11.0,11.25,21.55,19.71,70.0,400.0,0.08,,,2.585,0.139,0.188,0.0,0.172,0.0,0.146,0.0,0.118,0.0,0.0,0.0,0.028,0.0904,0.0,0.056,0.0029,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-08-27 00:00:00,Lucerne,Evanthia Mantzouki,47.02083333,8.355516667,434.0,214.0,104.0,7.23,20.0,22.28,19.68,16.83,130.0,500.0,0.332,,,0.794,0.0,0.075,0.0,0.127,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-08-13 00:00:00,Morat,Evanthia Mantzouki,46.92760833,7.074027778,429.0,45.0,,1.2,14.0,13.16,26.75,20.35,70.0,1400.0,2.043,,4.608,1.128,0.101,0.147,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
