,DATETIME,Body of Water Name,DataContact,LAT,LONG,Maximum Depth (m),Mean Depth (m),Secchi Depth (m),Surface Temperature (degrees celsius),Total Nitrogen (ug/L),Total Phosphorus (ug/L),NO3 NO2 (mg/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
0,2008-06-25 14:00:00,ADAMSON LAKE,Ron Zurawell,53.61544,-112.92044,,,1.35,21.6,5668.0,256.0,0.008,13.1,0.09
1,2008-07-24 12:50:00,ADAMSON LAKE,Ron Zurawell,53.61544,-112.92044,,,1.2,22.4,6322.0,161.0,0.012,11.0,0.07
2,2008-08-13 11:45:00,ADAMSON LAKE,Ron Zurawell,53.61544,-112.92044,,,0.4,17.47,6065.0,497.0,0.005,107.0,0.08
3,2008-09-09 10:45:00,ADAMSON LAKE,Ron Zurawell,53.61544,-112.92044,,,0.22,13.22,8055.0,614.0,0.005,169.0,0.1
4,2008-10-07 11:30:00,ADAMSON LAKE,Ron Zurawell,53.61544,-112.92044,,,0.3,8.54,8668.0,578.0,0.008,168.0,0.07
5,2008-06-04 18:10:00,AMISK LAKE,Ron Zurawell,54.61611,-112.62306,59.0,15.5,3.0,18.13,1027.0,52.0,0.027,4.7,0.15
6,2008-06-30 10:20:00,AMISK LAKE,Ron Zurawell,54.61611,-112.62306,59.0,15.5,3.0,22.26,965.0,32.0,0.005,10.5,0.14
7,2008-07-23 10:45:00,AMISK LAKE,Ron Zurawell,54.61611,-112.62306,59.0,15.5,1.75,21.44,938.0,34.0,0.008,6.71,0.08
8,2008-08-12 10:00:00,AMISK LAKE,Ron Zurawell,54.61611,-112.62306,59.0,15.5,1.5,20.5,1055.0,28.0,0.005,6.15,0.13
9,2008-09-14 12:00:00,AMISK LAKE,Ron Zurawell,54.61611,-112.62306,59.0,15.5,3.75,14.97,945.0,21.0,0.005,4.67,0.08
10,2009-06-14 10:00:00,ARM LAKE,Ron Zurawell,52.74783,-110.58845,14.0,6.3,4.5,19.64,1035.0,22.0,0.005,2.2,0.13
11,2009-07-11 09:05:00,ARM LAKE,Ron Zurawell,52.74783,-110.58845,14.0,6.3,3.5,18.12,1061.0,24.0,0.011,4.12,0.08
12,2009-07-26 08:45:00,ARM LAKE,Ron Zurawell,52.74783,-110.58845,14.0,6.3,3.0,23.39,1085.0,19.0,0.005,2.89,0.12
13,2009-08-17 09:05:00,ARM LAKE,Ron Zurawell,52.74783,-110.58845,14.0,6.3,3.25,17.11,1014.9999999999999,22.0,0.005,3.75,0.13
