SAMPLE_NO,STATION_NO,STN_NO_NM_LOC,Station Type,SAMPLE_DATETIME,SAMPLE_DATETIME,M_LATITUDE,LONGITUDE,M_LONGITUDE,Secchi Flag,secchi.m,Chloro Flag,chla.ug.L,TP Flag,TP.mg.L,Ammonia flag,Ammonia (NH3-N) mg/L,NO2NO3 flag,Nitrate+Nitrite (NO3+NO2 -N) mg/L,Nitrate flag,Nitrate (NO3 -N) mg/L,Nitrite flag,Nitrite (NO2 -N) mg/L,TKN flag,Total Kjeldahl Nitrogen (TKN)  mg/L,TN.mg.L,TP(mg/L),TN:TP,MC,1.0 m Water Temp DegC,Perimeter (km),Surface area (km2),Volume (million m3),Maximum depth (m),Mean depth (m),Drainage basin area (km2),mean annual inflow (million m3),< or > ,Water residence time (yrs),Watershed vs lake surface area ratio,Natural region,Sub-region,Physiographic Regions
08SWE01305               ,AB05EB5210,ADAMSON LAKE - COMPOSITE (AB05EB5210),Lake,2008,25-Jun-08 14:00,53.615440,-112.920440,112.920440,,1.35,,13.1,,0.256,,2,,0.008,,,,0.005,,5.66,5.668,,,0.09,21.6,7.82,0.61,,,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE01719               ,AB05EB5210,ADAMSON LAKE - COMPOSITE (AB05EB5210),Lake,2008,24-Jul-08 12:50,53.615440,-112.920440,112.920440,,1.2,,11,,0.161,,2.76,,0.012,,,,0.009,,6.31,6.322,,,0.07,22.4,7.82,0.61,,,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE01936               ,AB05EB5210,ADAMSON LAKE - COMPOSITE (AB05EB5210),Lake,2008,13-Aug-08 11:45,53.615440,-112.920440,112.920440,,0.4,,107,,0.497,,0.166,,0.005,,,,0.003,,6.06,6.065,,,0.08,17.47,7.82,0.61,,,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE02463               ,AB05EB5210,ADAMSON LAKE - COMPOSITE (AB05EB5210),Lake,2008,09-Sep-08 10:45,53.615440,-112.920440,112.920440,,0.22,,169,,0.614,,0.07,L,0.005,,,,0.002,,8.05,8.055,,,0.1,13.22,7.82,0.61,,,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE03594               ,AB05EB5210,ADAMSON LAKE - COMPOSITE (AB05EB5210),Lake,2008,07-Oct-08 11:30,53.615440,-112.920440,112.920440,,0.3,,168,,0.578,,0.14,,0.008,,,,0.004,,8.66,8.668,,,0.07,8.54,7.82,0.61,,,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE08592               ,AB06AA0120,AMISK LAKE - COMPOSITE (AB06AA0120),Lake,2008,04-Jun-08 18:10,54.616110,-112.623060,112.623060,,3,,4.7,,0.052,,0.013,,0.027,,,,,,1,1.027,,,0.15,18.13,25.83,5.15,79.7,59,15.5,234.00,10.4,,8,45.44,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE08855               ,AB06AA0120,AMISK LAKE - COMPOSITE (AB06AA0120),Lake,2008,30-Jun-08 10:20,54.616110,-112.623060,112.623060,,3,,10.5,,0.032,,0.012,L,0.005,,,,,,0.96,0.965,,,0.14,22.26,25.83,5.15,79.7,59,15.5,234.00,10.4,,8,45.44,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE09123               ,AB06AA0120,AMISK LAKE - COMPOSITE (AB06AA0120),Lake,2008,23-Jul-08 10:45,54.616110,-112.623060,112.623060,,1.75,,6.71,,0.034,,0.013,,0.008,,,,,,0.93,0.938,,,0.08,21.44,25.83,5.15,79.7,59,15.5,234.00,10.4,,8,45.44,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE11148               ,AB06AA0120,AMISK LAKE - COMPOSITE (AB06AA0120),Lake,2008,12-Aug-08 10:00,54.616110,-112.623060,112.623060,,1.5,,6.15,,0.028,,0.018,L,0.005,,,,,,1.05,1.055,,,0.13,20.5,25.83,5.15,79.7,59,15.5,234.00,10.4,,8,45.44,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE11478               ,AB06AA0120,AMISK LAKE - COMPOSITE (AB06AA0120),Lake,2008,14-Sep-08 12:00,54.616110,-112.623060,112.623060,,3.75,,4.67,,0.021,,0.017,L,0.005,,,,,,0.94,0.945,,,0.08,14.97,25.83,5.15,79.7,59,15.5,234.00,10.4,,8,45.44,Boreal,Central Mixedwood,Eastern Alberta Plains
